1|1|25738|155190|4137|19950218|2-HIGH|0|17|2116823|7730149|4|2032150|74711|2|19950331|TRUCK
1|2|25738|67310|815|19950218|2-HIGH|0|36|4598316|7730149|9|4184467|76638|6|19950416|MAIL
1|3|25738|63700|355|19950218|2-HIGH|0|8|1330960|7730149|10|1197864|99821|2|19950422|REG AIR
2|1|18238|106170|5329|19960130|2-HIGH|0|38|4469446|20397865|0|4469446|70570|5|19960314|RAIL
2|2|18238|194509|3008|19960130|2-HIGH|0|30|4810500|20397865|5|4569975|96209|1|19960415|FOB
2|3|18238|100164|686|19960130|2-HIGH|0|44|5122304|20397865|7|4763742|69849|3|19960409|SHIP
2|4|18238|45803|6909|19960130|2-HIGH|0|37|6470560|20397865|9|5888209|104927|5|19960414|AIR
3|1|20612|4297|9793|19960817|1-URGENT|0|45|5405805|16746878|6|5081456|72077|0|19961107|AIR
3|2|20612|19036|8333|19960817|1-URGENT|0|49|4679647|16746878|10|4211682|57301|0|19961023|RAIL
3|3|20612|128449|7045|19960817|1-URGENT|0|27|3989088|16746878|6|3749742|88646|7|19960925|SHIP
3|4|20612|29380|3709|19960817|1-URGENT|0|2|261876|16746878|1|259257|78562|6|19961110|TRUCK
3|5|20612|183095|8034|19960817|1-URGENT|0|28|3298652|16746878|4|3166705|70685|0|19961113|FOB
4|1|13813|88035|9060|19940516|4-NOT SPECI|0|0|0|0|3|0|61381|8|19940719|REG AIR
5|1|5393|108570|209|19970930|5-LOW|0|15|2367855|7508025|2|2320497|94714|4|19971101|AIR
5|2|5393|123927|1295|19970930|5-LOW|0|26|5072392|7508025|7|4717324|117055|8|19971126|FOB
6|1|2020|139636|2876|19931213|3-MEDIUM|0|37|6199831|24363867|8|5703844|100537|3|19940307|TRUCK
6|2|2020|53077|626|19931213|3-MEDIUM|0|14|1442098|24363867|8|1326730|61804|0|19940130|RAIL
6|3|2020|63342|5989|19931213|3-MEDIUM|0|47|6135098|24363867|7|5705641|78320|0|19940226|AIR
6|4|2020|172758|9632|19931213|3-MEDIUM|0|17|3112275|24363867|6|2925538|109844|5|19940306|TRUCK
6|5|2020|138036|8835|19931213|3-MEDIUM|0|32|3436896|24363867|10|3093206|64441|2|19940311|AIR
